Composition,HV,Source
Al7.7Cr15.4Cu15.4Fe15.4Ni15.4Ti15.4V15.4,593,"葛大梁,刘贵仲,周敏,郭景杰.Al_xCrFeNiCuVTi系高熵合金的组织和力学性能研究[J].热加工工艺,2013,42(08):47-49./Ge Daliang, Liu Guizhong, Zhou Min, Guo Jingjie. Study on Microstructure and Mechanical Properties of AlCrFeNiCuVTi High-entropy Alloy [J]. Hot Working Technology, 2013,42 (08): 47-49"
Al14.3Cr14.3Cu14.3Fe14.3Ni14.3Ti14.3V14.3,750,"葛大梁,刘贵仲,周敏,郭景杰.Al_xCrFeNiCuVTi系高熵合金的组织和力学性能研究[J].热加工工艺,2013,42(08):47-49./Ge Daliang, Liu Guizhong, Zhou Min, Guo Jingjie. Study on Microstructure and Mechanical Properties of AlCrFeNiCuVTi High-entropy Alloy [J]. Hot Working Technology, 2013,42 (08): 47-49"
Al20Cr13.3Cu13.3Fe13.3Ni13.3Ti13.3V13.3,895,"葛大梁,刘贵仲,周敏,郭景杰.Al_xCrFeNiCuVTi系高熵合金的组织和力学性能研究[J].热加工工艺,2013,42(08):47-49./Ge Daliang, Liu Guizhong, Zhou Min, Guo Jingjie. Study on Microstructure and Mechanical Properties of AlCrFeNiCuVTi High-entropy Alloy [J]. Hot Working Technology, 2013,42 (08): 47-49"
Al19.2Co19.2Cr19.2Fe19.2Ni19.2Ti3.8,467,"王银凤. AlCoCrFeNiTi_X高熵合金的微观组织与力学性能研究[D].太原理工大学,2013./Wang Yinfeng. The Study of  Microstructures and mechanical properties of  AlCoCrFeNiTiX High Entropy alloy[D]. Taiyuan University of technology, 2013"
Cr21.5Cu3.2Fe21.5Ni32.3Mn21.5,127,"房伟峰. CuCrFeNiMn基高熵合金的微观组织和耐腐蚀性能研究[D].郑州大学,2014./Fang Weifeng.Microstructure and Corrosion Resistance Properties of 
CuCrFeNiMn Based High Entropy Alloys [D]. Zhengzhou University, 2014."
Al16.7Cr16.7Cu33.3Fe16.7Ni16.7,375,"张国玺,任波,赵瑞锋,关绍康,滕瑛瑶.时效处理对Cu_xCrFeNiAl高熵合金组织与硬度的影响[J].特种铸造及有色合金,2015,35(04):440-443./Zhang Guoxi, Ren Bo, Zhao Ruifeng,Guan Shaokang, Teng yingyao. Effects of Aging Treatment on Microstructure and Mechanical Properties of CuCrFeNiAl High-entropy Alloys[J]. Special casting and non-ferrous alloy, 2015,35 (04): 440-443"
Al23.8Co23.8Cr23.8Fe4.8Ni23.8,637.2,"陈秋实. 硼元素和铁元素对AlCoCrFeNi基高熵合金的改性研究[D].大连理工大学,2015./Chen Qiushi.Study on the Modification of AlCoCrFeNi based high entropy alloy by B and Fe [D]. Dalian University of technology, 2015."
Co22.2Cr22.2Fe22.2Ni22.2V11.1,470.5,"刘亮,齐锦刚,王冰,赵作福,商剑,张越.CoCrFeNiV_x高熵合金的组织与力学性能[J].特种铸造及有色合金,2015,35(11):1130-1133./Liu Liang, Qi Jingang, Wang Bing, Zhao Zuofu, Shang Jian, Zhang Yue.Microstructure and Mechanical Properties of CoCrFeNiV High Entropy Alloys [J]. Special casting and nonferrous alloys, 2015,35 (11): 1130-1133"
Co16.7Cr16.7Fe16.7Ni16.7V33.3,920.2,"刘亮,齐锦刚,王冰,赵作福,商剑,张越.CoCrFeNiV_x高熵合金的组织与力学性能[J].特种铸造及有色合金,2015,35(11):1130-1133./Liu Liang, Qi Jingang, Wang Bing, Zhao Zuofu, Shang Jian, Zhang Yue.Microstructure and Mechanical Properties of CoCrFeNiV High Entropy Alloys [J]. Special casting and nonferrous alloys, 2015,35 (11): 1130-1133"
Al3.5Co26.3Cr17.5Fe17.5Ni26.3Ti8.8,480.8,"孔蛟润. 铝和锰元素对CoCrFeNiTi系高熵合金组织与性能的影响[D].大连理工大学,2016./Kong jiaorun. Effect of Al and Mn on Microstructure and Properties of CoCrFeNiTi High entropy alloy System [D]. Dalian University of technology, 2016"
Al3.2Co24.2Cr16.1Fe16.1Ni24.2Ti16.1,671.6,"孔蛟润. 铝和锰元素对CoCrFeNiTi系高熵合金组织与性能的影响[D].大连理工大学,2016./Kong jiaorun. Effect of Al and Mn on Microstructure and Properties of CoCrFeNiTi High entropy alloy System [D]. Dalian University of technology, 2016"
Al18.2Co18.2Cr18.2Cu9.1Fe18.2Ti18.2,804,"郝聪敏,刘贵仲,谢红波,董鑫涛,班煜峰,郭景杰.Cu对AlFeCrCoTiCu_x多组元高熵合金组织及其力学性能的影响[J].广西大学学报(自然科学版),2016,41(03):876-882./Hao, Congmin, Liu, Guizhong, Xie, Hongbo, Dong, Xintao, Ban, Yufeng, Guo, Jingjie. Effect of Cu on the organization of AlFeCrCoTiCu_x multi-component high-entropy alloy and its mechanical properties high-entropy alloys[J]. Journal of Guangxi University (Natural Science Edition),2016,41(03):876-882."
Al17.4Co17.4Cr17.4Cu13Fe17.4Ti17.4,613,"郝聪敏,刘贵仲,谢红波,董鑫涛,班煜峰,郭景杰.Cu对AlFeCrCoTiCu_x多组元高熵合金组织及其力学性能的影响[J].广西大学学报(自然科学版),2016,41(03):876-882./Hao, Congmin, Liu, Guizhong, Xie, Hongbo, Dong, Xintao, Ban, Yufeng, Guo, Jingjie. Effect of Cu on the organization of AlFeCrCoTiCu_x multi-component high-entropy alloy and its mechanical properties high-entropy alloys[J]. Journal of Guangxi University (Natural Science Edition),2016,41(03):876-882."
Al16.7Co16.7Cr16.7Cu16.7Fe16.7Ti16.7,582,"郝聪敏,刘贵仲,谢红波,董鑫涛,班煜峰,郭景杰.Cu对AlFeCrCoTiCu_x多组元高熵合金组织及其力学性能的影响[J].广西大学学报(自然科学版),2016,41(03):876-882./Hao, Congmin, Liu, Guizhong, Xie, Hongbo, Dong, Xintao, Ban, Yufeng, Guo, Jingjie. Effect of Cu on the organization of AlFeCrCoTiCu_x multi-component high-entropy alloy and its mechanical properties high-entropy alloys[J]. Journal of Guangxi University (Natural Science Edition),2016,41(03):876-882."
Al5Co22.5Cr25Cu22.5Ni25,165.03,"王晓博,高巍,要玉宏,陈建,房耀文.高熵合金Al_5Co_(22.5)Cu_(25)Mn_(22.5)Ni_(25)微观组织与力学性能研究[J].西安工业大学学报,2017,37(02):145-150./[1] Wang Xiaobo, Gao Wei, Yao Hong, Chen Jian, Fang Yaowen.Microstructure and Mechanical Properties of Al5Co22.5Cu25Mn22.5Ni25 High-Entropy Alloy[J]. Journal of Xi'an University of technology, 2017,37 (02): 145-150"
Co10Cr10Fe40Mn40,131.3,"邵华. 碳对不同晶体结构高熵合金组织和性能的影响[D].西安工业大学,2017./Shao Hua. Effect of Carbon on Microstructure and Properties of High-entropy 
Alloys with different Crystal Structures [D]. Xi'an University of technology, 2017"
Co10Fe40Ni10Mn40,136,"邵华. 碳对不同晶体结构高熵合金组织和性能的影响[D].西安工业大学,2017./Shao Hua. Effect of Carbon on Microstructure and Properties of High-entropy 
Alloys with different Crystal Structures [D]. Xi'an University of technology, 2017"
Co10Cr10Fe50Mn30,380,"邵华. 碳对不同晶体结构高熵合金组织和性能的影响[D].西安工业大学,2017./Shao Hua. Effect of Carbon on Microstructure and Properties of High-entropy 
Alloys with different Crystal Structures [D]. Xi'an University of technology, 2017"
Cr25Fe25Mo25V25,720,"Guo J ,  Huang X ,  Huang W . Microstructure and Room-Temperature Mechanical Properties of FeCrMoVTi x High-Entropy Alloys[J]. Journal of Materials Engineering and Performance, 2017."
Cr22.2Fe22.2Mo22.2Ti11.1V22.2,818,"Guo J ,  Huang X ,  Huang W . Microstructure and Room-Temperature Mechanical Properties of FeCrMoVTi x High-Entropy Alloys[J]. Journal of Materials Engineering and Performance, 2017."
Cr18.2Fe18.2Mo18.2Ti27.3V18.2,735,"Guo J ,  Huang X ,  Huang W . Microstructure and Room-Temperature Mechanical Properties of FeCrMoVTi x High-Entropy Alloys[J]. Journal of Materials Engineering and Performance, 2017."
Cr16.7Fe16.7Mo16.7Ti33.3V16.7,685,"Guo J ,  Huang X ,  Huang W . Microstructure and Room-Temperature Mechanical Properties of FeCrMoVTi x High-Entropy Alloys[J]. Journal of Materials Engineering and Performance, 2017."
Co24.4Cr24.4Fe24.4Ni24.4Mo2.4,150,"Chang X ,  Hui J ,  Lu Y , et al. Microstructures and Mechanical Properties of NixCoCrFeMo0.1 Multi-component Alloys[M].  2018."
Co20Cr20Fe40Ni20,124,"Han L ,  Hui J ,  D  Qiao, et al. Effects of Iron on Microstructure and Properties of CoCrFexNi Multi-principal Element Alloys[C]// Chinese Materials Conference. Springer, Singapore, 2017."
Co14.3Cr14.3Fe57.1Ni14.3,109,"Han L ,  Hui J ,  D  Qiao, et al. Effects of Iron on Microstructure and Properties of CoCrFexNi Multi-principal Element Alloys[C]// Chinese Materials Conference. Springer, Singapore, 2017."
Co16.7Cr16.7Fe50Ni16.7,115,"Han L ,  Hui J ,  D  Qiao, et al. Effects of Iron on Microstructure and Properties of CoCrFexNi Multi-principal Element Alloys[C]// Chinese Materials Conference. Springer, Singapore, 2017."
Co22.2Cu11.1Fe22.2Ni22.2V22.2,214,"Ye H ,  Zhan Y ,  Nie N . Development of novel CoCu 0.5 FeNiVTi x ( x = 0, 0.5, 1, 1.5, 2) high-entropy alloys[J]. Materials Science & Technology, 2017:1-9."
Co20Cu10Fe20Ni20Ti10V20,546,"Ye H ,  Zhan Y ,  Nie N . Development of novel CoCu 0.5 FeNiVTi x ( x = 0, 0.5, 1, 1.5, 2) high-entropy alloys[J]. Materials Science & Technology, 2017:1-9."
Co18.2Cu9.1Fe18.2Ni18.2Ti18.2V18.2,690,"Ye H ,  Zhan Y ,  Nie N . Development of novel CoCu 0.5 FeNiVTi x ( x = 0, 0.5, 1, 1.5, 2) high-entropy alloys[J]. Materials Science & Technology, 2017:1-9."
Co16.7Cu8.3Fe16.7Ni16.7Ti25V16.7,664,"Ye H ,  Zhan Y ,  Nie N . Development of novel CoCu 0.5 FeNiVTi x ( x = 0, 0.5, 1, 1.5, 2) high-entropy alloys[J]. Materials Science & Technology, 2017:1-9."
Co15.4Cu7.7Fe15.4Ni15.4Ti30.8V15.4,660,"Ye H ,  Zhan Y ,  Nie N . Development of novel CoCu 0.5 FeNiVTi x ( x = 0, 0.5, 1, 1.5, 2) high-entropy alloys[J]. Materials Science & Technology, 2017:1-9."
Co25Cr25Fe25Mn25,310,"Koppoju S ,  Konduri S P ,  Chalavadi P , et al. Effect of Ni on Microstructure and Mechanical Properties of CrMnFeCoNi High Entropy Alloy[J]. Transactions of the Indian Institute of Metals, 2019, 73(11)."
Al13Co21.7Cr21.7Fe21.7Ni21.7,245.8,"Geanta V ,  Voiculescu I ,  Milosan I , et al. Chemical Composition Influence on Microhardness, Microstructure and Phase Morphology of AlxCrFeCoNi High Entropy Alloys[J]. Revista de Chimie -Bucharest- Original Edition-, 2018, 69(4):798-801."
Al4.8Co23.8Cr23.8Fe23.8Ni23.8,169,"Geanta V ,  Voiculescu I ,  Milosan I , et al. Chemical Composition Influence on Microhardness, Microstructure and Phase Morphology of AlxCrFeCoNi High Entropy Alloys[J]. Revista de Chimie -Bucharest- Original Edition-, 2018, 69(4):798-801."
Al25.9Co18.5Cr18.5Fe18.5Ni18.5,516.6,"Geanta V ,  Voiculescu I ,  Milosan I , et al. Chemical Composition Influence on Microhardness, Microstructure and Phase Morphology of AlxCrFeCoNi High Entropy Alloys[J]. Revista de Chimie -Bucharest- Original Edition-, 2018, 69(4):798-801."
Al13.3Co33.3Cu20Ni33.3,193,"Chen, Yongxing, Zhu, et al. Microstructure evolution and strengthening mechanism of Al0.4CoCu0.6NiSix (x=0–0.2) high entropy alloys prepared by vacuum arc melting and copper injection fast solidification[J]. VACUUM -LONDON THEN OXFORD- PERGAMON-, 2018."
Al7Co23.3Cr23.3Fe23.3Ni23.3,166,"程一丹. Al-Co-Cr-Fe-Mn-Ni-C系高熵合金组织及性能的研究[D].西安工业大学,2018./Cheng Yidan. Study on Al-Co-Cr-Fe-Mn-Ni-C High-entropy Alloys in As-Cast 
and Annealed Phase [D]. Xi'an University of technology, 2018"
Al8.6Co22.9Cr22.9Fe22.9Ni22.9,131,"Kao Y F ,  Chen T J ,  Chen S K , et al. Microstructure and mechanical property of as-cast, homogenized, and -deformed Al x CoCrFeNi (0 ≤ x ≤ 2) high-entropy alloys[J]. Journal of Alloys & Compounds, 2009, 488(1):57-64."
Al16.7Co16.7Cr16.7Cu16.7Fe16.7Ni16.7,472," Zhuang Y X ,  Liu W J ,  Chen Z Y , et al. Effect of elemental interaction on microstructure and mechanical properties of FeCoNiCuAl alloys[J]. Materials Science and Engineering A, 2012, 556(OCT.30):395–399."
Al16.7Co16.7Cr16.7Fe33.3Ni16.7,485,"龚文娟. Cu_xCrFeNiTi高熵合金抗高温氧化与耐腐蚀性能的研究[D].湘潭大学,2019./Gongwenjuan. High Temperature Oxidation Resistance and Corrosion Resistance of CuxCrFeNiTi High Entropy Alloy[D]. Xiangtan University, 2019.、陈秋实. 硼元素和铁元素对AlCoCrFeNi基高熵合金的改性研究[D].大连理工大学,2015./Chen Qiushi.Study on the Modification of AlCoCrFeNi based high entropy alloy by B and Fe [D]. Dalian University of technology, 2015."
Al16.7Co16.7Cu16.7Fe16.7Ni16.7Ti16.7,626,"Zhuang Y X ,  Liu W J ,  Chen Z Y , et al. Effect of elemental interaction on microstructure and mechanical properties of FeCoNiCuAl alloys[J]. Materials Science and Engineering A, 2012, 556(OCT.30):395–399. 、Zhuang Y X ,  Liu W J ,  Chen Z Y , et al. Effect of elemental interaction on microstructure and mechanical properties of FeCoNiCuAl alloys[J]. Materials Science and Engineering A, 2012, 556(OCT.30):395–399."
Al16.7Cr16.7Cu16.7Fe16.7Ni33.3,396,"Guo S ,  Ng C ,  Liu C T . Anomalous solidification microstructures in Co-free AlxCrCuFeNi2 high-entropy alloys[J]. Journal of Alloys & Compounds, 2013, 557:77-81.、刘用. Al_xCrCuFeNi_2高熵合金的组织结构及摩擦学性能研究[D].太原理工大学,2016./Liu Yong, al_ xCrCuFeNi2 .The studyof Microstructure and Tribological Properties of AlxCrCuFeNi2 high entropy alloy [D]. Taiyuan University of technology, 2016"
Al16Co20Cr20Fe20Ni20Ti4,473,"蒋淑英,林志峰,许红明,张大磊.铸态及退火态Al_(0.8)CoCrFeNiTi_(0.2)高熵合金的组织和性能[J].稀有金属材料与工程,2019,48(06):2014-2020./Jiang Shu Ying, Lin Zhi Feng, Xu Hong Ming, Zhang Da Lei. Microstructure and Properties of the As-cast and Annealed Al CoCrFeNiTi0.2 High-Entropy Alloys[J]. Rare metal materials and engineering, 2019,48 (06): 2014-2020、林志峰. CoCrFeNiAl_xTi_(1-x)系高熵合金铸态及退火态组织和性能研究[D].中国石油大学(华东),2017./Lin Zhifeng. Study on Microstructure and Properties of the As-cast and Annealed CoCrFeNiAixTi1-x High Entropy Alloys[D]. China University of Petroleum (East China), 2017.、Jiang S ,  Lin Z ,  Xu H , et al. Studies on the microstructure and properties of AlxCoCrFeNiTi1-x high entropy alloys[J]. Journal of Alloys & Compounds, 2018, 741:826-833."
Al18.2Co18.2Cr18.2Fe18.2Ni18.2Mo9.1,747,"Hsu C Y ,  Wang W R ,  Tang W Y , et al. Microstructure and Mechanical Properties of New AlCoxCrFeMo0.5Ni High‐Entropy Alloys[J]. Advanced Engineering Materials, 2010, 12(1-2):44-49.、Hsu C Y ,  Juan C C ,  Sheu T S , et al. Effect of Aluminum Content on Microstructure and Mechanical Properties of AlxCoCrFeMo0.5Ni High-Entropy Alloys[J]. JOM, 2013, 65(12):1840-1847.、Juan C C ,  Hsu C Y ,  Tsai C W , et al. On microstructure and mechanical performance of AlCoCrFeMo0.5Nix high-entropy alloys[J]. Intermetallics, 2013, 32:401-407."
Al18.2Co18.2Cr18.2Fe18.2Ni18.2Ti9.1,507,"王银凤. AlCoCrFeNiTi_X高熵合金的微观组织与力学性能研究[D].太原理工大学,2013./Wang Yinfeng. The Study of  Microstructures and mechanical properties of  AlCoCrFeNiTiX High Entropy alloy[D]. Taiyuan University of technology, 2013"
Al10Co20Cr20Fe20Ni20Ti10,520,"蒋淑英,林志峰,许红明.铸态和退火态Al_(0.5)CoCrFeNiTi_(0.5)高熵合金的组织与性能[J].中国有色金属学报,2019,29(02):326-333./Jiang Shuying, Lin Zhifeng, Xu Hongming. Microstructure and properties of as-cast and annealed AlCoCrFeNiTi0.5 high-entropy alloys [J]. Chinese Journal of nonferrous metals, 2019,29 (02): 326-333、林志峰. CoCrFeNiAl_xTi_(1-x)系高熵合金铸态及退火态组织和性能研究[D].中国石油大学(华东),2017./Lin Zhifeng. Study on Microstructure and Properties of the As-cast and Annealed CoCrFeNiAixTi1-x High Entropy Alloys[D]. China University of Petroleum (East China), 2017.、Jiang S ,  Lin Z ,  Xu H , et al. Studies on the microstructure and properties of AlxCoCrFeNiTi1-x high entropy alloys[J]. Journal of Alloys & Compounds, 2018, 741:826-833."
Al23.8Co19Cr19Fe19Ni19,493,"Kao Y F ,  Chen T J ,  Chen S K , et al. Microstructure and mechanical property of as-cast, homogenized, and -deformed Al x CoCrFeNi (0 ≤ x ≤ 2) high-entropy alloys[J]. Journal of Alloys & Compounds, 2009, 488(1):57-64."
Al25Co25Fe25Ni25,447,"Zhu Z G ,  Ma K H ,  Wang Q , et al. Compositional dependence of phase formation and mechanical properties in three CoCrFeNi-(Mn/Al/Cu) high entropy alloys[J]. Intermetallics, 2016, 79:1-11.、Zuo T T ,  Li R B ,  Ren X J , et al. Effects of Al and Si addition on the structure and properties of CoFeNi equal atomic ratio alloy[J]. Journal of Magnetism & Magnetic Materials, 2014, 371(dec.):60-68.、王帅. Al_xCoFeNiCr_（1-x）高熵合金微观组织，力学性能及耐腐蚀性能研究[D].中北大学,2020./Wang Shuai. Study on the Mechanical Properties and Corrosion Resistance of AlxCoFeNiCr1-x High-Entropy Alloys[D]. Zhongbei University, 2020.、邵华. 碳对不同晶体结构高熵合金组织和性能的影响[D].西安工业大学,2017./Shao Hua. Effect of Carbon on Microstructure and Properties of High-entropy Alloys with different Crystal Structures [D]. Xi'an University of technology, 2017"
Al26.5Cr14.7Cu14.7Fe14.7Ni29.4,570,"Guo S ,  Ng C ,  Liu C T . Anomalous solidification microstructures in Co-free AlxCrCuFeNi2 high-entropy alloys[J]. Journal of Alloys & Compounds, 2013, 557:77-81.、刘用. Al_xCrCuFeNi_2高熵合金的组织结构及摩擦学性能研究[D].太原理工大学,2016./Liu Yong, al_ xCrCuFeNi2 .The studyof Microstructure and Tribological Properties of AlxCrCuFeNi2 high entropy alloy [D]. Taiyuan University of technology, 2016"
Al27.3Co18.2Cr18.2Fe18.2Ni18.2,510,"Kao Y F ,  Chen T J ,  Chen S K , et al. Microstructure and mechanical property of as-cast, homogenized, and -deformed Al x CoCrFeNi (0 ≤ x ≤ 2) high-entropy alloys[J]. Journal of Alloys & Compounds, 2009, 488(1):57-64.、Geanta V ,  Voiculescu I ,  Milosan I , et al. Chemical Composition Influence on Microhardness, Microstructure and Phase Morphology of AlxCrFeCoNi High Entropy Alloys[J]. Revista de Chimie -Bucharest- Original Edition-, 2018, 69(4):798-801."
Al28.6Co14.3Cr14.3Fe14.3Ni14.3Ti14.3,729,"徐义库,刘建儒,宋绪丁,陈永楠,黄兆皓,郝建民,刘林.CoCrFeNiTiAlx高熵合金的组织演变及其力学性能研究[J].热加工工艺,2018,47(24):21-24+30./Xu yiku, Liu Jianru, song Xuding, Chen Yongnan, Huang zhaohao, Hao Jianmin, Liu Lin. Study on Microstructure Evolution and Mechanical Properties of CoCrFeNiTiAl high entropy alloy [J]. Hot working process, 2018,47 (24): 21-24 + 30"
Al20Co20Cr20Cu20Fe20,407,"Yeh J W . Recent progress in high-entropy alloys[J]. European Journal of Control, 2006, 31(6):633-648."
Al20Co20Cu20Fe20Ni20,536,"Yanxin, ZHUANG, 1), et al. Effect of Co element on microstructure and mechanical properties of FeCo_x NiCuAl alloys[J]. Acta Metallurgica Sinica(English Letters), 2012, 02(v.25):38-44.、Zhuang Y X ,  Liu W J ,  Chen Z Y , et al. Effect of elemental interaction on microstructure and mechanical properties of FeCoNiCuAl alloys[J]. Materials Science and Engineering A, 2012, 556(OCT.30):395–399."
Co25Cr16.7Fe16.7Ni25Ti16.7,596.3,"孔蛟润. 铝和锰元素对CoCrFeNiTi系高熵合金组织与性能的影响[D].大连理工大学,2016./Kong jiaorun. Effect of Al and Mn on Microstructure and Properties of CoCrFeNiTi High entropy alloy System [D]. Dalian University of technology, 2016"
Co25Cr25Fe25Ni25,156,"Ma H ,  Chan H S . Effects of Hf on the microstructure and mechanical properties of CoCrFeNi high entropy alloy[J]. Journal of Alloys and Compounds, 2020, 827:154159."
Co27.3Cr18.2Fe18.2Ni27.3Ti9.1,447.5,"孔蛟润. 铝和锰元素对CoCrFeNiTi系高熵合金组织与性能的影响[D].大连理工大学,2016./Kong jiaorun. Effect of Al and Mn on Microstructure and Properties of CoCrFeNiTi High entropy alloy System [D]. Dalian University of technology, 2016"
Co20Cr20Fe20Ni20Mn20,118,"董意男. FeCoNiCrMn(Nb,Sn)x高熵合金的微观组织及力学性能研究[D].大连交通大学,2017./Dong Yinan. Microstructure and mechanical properties of FeCoNiCrMn (Nb,Sn)x HEAs [D]. Dalian Jiaotong University, 2017、董意男,王晶,徐书聪,王字敏,庄艳歆.FeCoNiCrMnNb_x高熵合金体系的微观组织和力学性能[J].大连交通大学学报,2018,39(01):90-94+114./Dong Yinan, Wang Jing, Xu Shucong, Wang Zimin, Zhuang Yanxin. Microstructure and Mechanical Properties of FeCoNiCrMnNbx High Entropy Alloys[J]. Journal of Dalian Jiaotong University, 2018,39 (01): 90-94 + 114"
Cr20Fe20Mo20Ti20V20,857,"Guo J ,  Huang X ,  Huang W . Microstructure and Room-Temperature Mechanical Properties of FeCrMoVTi x High-Entropy Alloys[J]. Journal of Materials Engineering and Performance, 2017.、薛彦均,尉文超,王毛球,时捷.Si对FeMoCrVTiSi_x高熵合金组织和力学性能的影响[J].特种铸造及有色合金,2020,40(01):112-116./Xue Yanjun,Yu Wenchao,Wang Maoqiu,Porsche.Effects of Si on Microstructure and Mechanical Properties of FeMoCrVTiSix High Entropy Alloy[J]. Special casting and nonferrous alloys,2020,40(01):112-116."
Co20Cr20Fe20Ni20V20,504,"刘亮,齐锦刚,王冰,赵作福,商剑,张越.CoCrFeNiV_x高熵合金的组织与力学性能[J].特种铸造及有色合金,2015,35(11):1130-1133./Liu Liang, Qi Jingang, Wang Bing, Zhao Zuofu, Shang Jian, Zhang Yue.Microstructure and Mechanical Properties of CoCrFeNiV High Entropy Alloys [J]. Special casting and nonferrous alloys, 2015,35 (11): 1130-1133"
Co18.2Cr18.2Fe18.2Ni18.2V27.3,895,"刘亮,齐锦刚,王冰,赵作福,商剑,张越.CoCrFeNiV_x高熵合金的组织与力学性能[J].特种铸造及有色合金,2015,35(11):1130-1133./Liu Liang, Qi Jingang, Wang Bing, Zhao Zuofu, Shang Jian, Zhang Yue.Microstructure and Mechanical Properties of CoCrFeNiV High Entropy Alloys [J]. Special casting and nonferrous alloys, 2015,35 (11): 1130-1133"
Al34Co17Cr34Fe5Ni10,699,"Wen C ,  Zhang Y ,  Wang C , et al. Machine learning assisted design of high entropy alloys with desired property[J]. Acta Materialia, 2019."
Al47Co14Cr15Cu5Fe13Ni6,728,"Wen C ,  Zhang Y ,  Wang C , et al. Machine learning assisted design of high entropy alloys with desired property[J]. Acta Materialia, 2019."
Al38Co11Cr6Cu9Fe31Ni5,604,"Wen C ,  Zhang Y ,  Wang C , et al. Machine learning assisted design of high entropy alloys with desired property[J]. Acta Materialia, 2019."
Al36Co10Cr31Cu6Fe9Ni8,790,"Wen C ,  Zhang Y ,  Wang C , et al. Machine learning assisted design of high entropy alloys with desired property[J]. Acta Materialia, 2019."
Al43Co17Cr15Fe14Ni11,806,"Wen C ,  Zhang Y ,  Wang C , et al. Machine learning assisted design of high entropy alloys with desired property[J]. Acta Materialia, 2019."
Al47Co12Cr12Cu5Fe13Ni11,811,"Wen C ,  Zhang Y ,  Wang C , et al. Machine learning assisted design of high entropy alloys with desired property[J]. Acta Materialia, 2019."
Al43Co19Cr19Fe11Ni8,855,"Wen C ,  Zhang Y ,  Wang C , et al. Machine learning assisted design of high entropy alloys with desired property[J]. Acta Materialia, 2019."
Al39Co10Cr31Cu5Fe8Ni7,802,"Wen C ,  Zhang Y ,  Wang C , et al. Machine learning assisted design of high entropy alloys with desired property[J]. Acta Materialia, 2019."
Al47Co13Cr13Cu5Fe12Ni10,799,"Wen C ,  Zhang Y ,  Wang C , et al. Machine learning assisted design of high entropy alloys with desired property[J]. Acta Materialia, 2019."
Al43Co20Cr22Fe8Ni7,857,"Wen C ,  Zhang Y ,  Wang C , et al. Machine learning assisted design of high entropy alloys with desired property[J]. Acta Materialia, 2019."
Al47Co14Cr19Cu5Fe10Ni5,855,"Wen C ,  Zhang Y ,  Wang C , et al. Machine learning assisted design of high entropy alloys with desired property[J]. Acta Materialia, 2019."
Al43Co20Cr19Fe9Ni9,816,"Wen C ,  Zhang Y ,  Wang C , et al. Machine learning assisted design of high entropy alloys with desired property[J]. Acta Materialia, 2019."
Al46Co14Cr23Cu5Fe7Ni5,811,"Wen C ,  Zhang Y ,  Wang C , et al. Machine learning assisted design of high entropy alloys with desired property[J]. Acta Materialia, 2019."
Al44Co14Cr22Cu5Fe9Ni6,790,"Wen C ,  Zhang Y ,  Wang C , et al. Machine learning assisted design of high entropy alloys with desired property[J]. Acta Materialia, 2019."
Al43Co19Cr24Fe8Ni6,855,"Wen C ,  Zhang Y ,  Wang C , et al. Machine learning assisted design of high entropy alloys with desired property[J]. Acta Materialia, 2019."
Al43Co18Cr24Fe10Ni5,856,"Wen C ,  Zhang Y ,  Wang C , et al. Machine learning assisted design of high entropy alloys with desired property[J]. Acta Materialia, 2019."
Al47Co14Cr20Cu5Fe9Ni5,859,"Wen C ,  Zhang Y ,  Wang C , et al. Machine learning assisted design of high entropy alloys with desired property[J]. Acta Materialia, 2019."
Al43Co24Cr22Fe5Ni6,875,"Wen C ,  Zhang Y ,  Wang C , et al. Machine learning assisted design of high entropy alloys with desired property[J]. Acta Materialia, 2019."
Al43Co23Cr21Fe8Ni5,863,"Wen C ,  Zhang Y ,  Wang C , et al. Machine learning assisted design of high entropy alloys with desired property[J]. Acta Materialia, 2019."
Al47Co12Cr20Cu5Fe11Ni5,843,"Wen C ,  Zhang Y ,  Wang C , et al. Machine learning assisted design of high entropy alloys with desired property[J]. Acta Materialia, 2019."
Al43Co15Cr17Cu5Fe14Ni6,794,"Wen C ,  Zhang Y ,  Wang C , et al. Machine learning assisted design of high entropy alloys with desired property[J]. Acta Materialia, 2019."
Al42Co10Cr30Cu5Fe7Ni6,783,"Wen C ,  Zhang Y ,  Wang C , et al. Machine learning assisted design of high entropy alloys with desired property[J]. Acta Materialia, 2019."
Al47Co11Cr22Cu5Fe10Ni5,797,"Wen C ,  Zhang Y ,  Wang C , et al. Machine learning assisted design of high entropy alloys with desired property[J]. Acta Materialia, 2019."
Al47Co13Cr20Cu5Fe10Ni5,805,"Wen C ,  Zhang Y ,  Wang C , et al. Machine learning assisted design of high entropy alloys with desired property[J]. Acta Materialia, 2019."
Al29Co22Cr34Fe5Ni10,699,"Wen C ,  Zhang Y ,  Wang C , et al. Machine learning assisted design of high entropy alloys with desired property[J]. Acta Materialia, 2019."
Al47Co7Cr16Cu9Fe16Ni5,749,"Wen C ,  Zhang Y ,  Wang C , et al. Machine learning assisted design of high entropy alloys with desired property[J]. Acta Materialia, 2019."
Al43Co14Cr21Cu5Fe12Ni5,828,"Wen C ,  Zhang Y ,  Wang C , et al. Machine learning assisted design of high entropy alloys with desired property[J]. Acta Materialia, 2019."
