,Composition,As-cast/other,Single/MultiPhase,Temperature (Celcius),Yield Strength,bin_name
273,MoNbTaTiVW,1,S,1200.0,659.0,6
274,MoNbTaTiVW,1,S,1000.0,752.8,7
275,MoNbTaTiVW,1,S,800.0,791.3,7
276,MoNbTaTiVW,1,S,600.0,973.0,9
277,MoNbTaTiW,1,S,25.0,1455.0,9
278,MoNbTaTiW,1,S,25.0,1343.0,9
279,MoNbTaTiW,1,S,1200.0,586.0,5
280,MoNbTaTiW,1,S,1000.0,620.0,6
281,MoNbTaTiW,1,S,800.0,674.0,6
282,MoNbTaTiW,1,S,600.0,689.0,6
283,MoNbTaTiZr,1,M,25.0,1390.0,9
284,MoNbTaTiZr,1,M,25.0,1375.0,9
285,MoNbTaTiZr,0,M,25.0,1100.0,9
286,MoNbTaV,1,S,25.0,1525.0,9
287,MoNbTaVW,0,S,25.0,2612.0,9
288,MoNbTaVW,0,S,25.0,1246.0,9
289,MoNbTaVW,0,S,1600.0,477.0,4
290,MoNbTaVW,0,S,1400.0,656.0,6
291,MoNbTaVW,0,S,1200.0,735.0,7
292,MoNbTaVW,0,S,1000.0,842.0,8
293,MoNbTaVW,0,S,800.0,846.0,8
294,MoNbTaVW,0,S,600.0,862.0,8
295,MoNbTaW,1,S,25.0,996.0,9
296,MoNbTaW,0,S,25.0,1058.0,9
297,MoNbTaW,0,S,1600.0,405.0,4
298,MoNbTaW,0,S,1400.0,421.0,4
299,MoNbTaW,0,S,1200.0,506.0,5
300,MoNbTaW,0,S,1000.0,548.0,5
301,MoNbTaW,0,S,800.0,552.0,5
302,MoNbTaW,0,S,600.0,561.0,5
303,MoNbTiV,1,S,25.0,1200.0,9
304,MoNbTiV0.25Zr,1,S,25.0,1750.0,9
305,MoNbTiV0.3Zr,1,S,25.0,1455.0,9
306,MoNbTiV0.5Zr,1,S,25.0,1640.0,9
307,MoNbTiV0.75Zr,1,S,25.0,1680.0,9
308,MoNbTiV1.5Zr,1,M,25.0,1720.0,9
309,MoNbTiV2Zr,1,M,25.0,1520.0,9
310,MoNbTiV3Zr,1,M,25.0,1415.0,9
311,MoNbTiVZr,1,S,25.0,1779.0,9
312,MoNbTiVZr,1,S,25.0,1770.0,9
313,MoNbTiZr,1,S,25.0,1560.0,9
314,MoTaTiV,1,S,25.0,1221.0,9
315,NbTaTiV,1,S,25.0,1092.0,9
316,NbTaTiV,1,S,25.0,965.0,9
317,NbTaTiVW,1,S,25.0,1420.0,9
318,NbTaVW,1,S,25.0,1530.0,9
319,NbTiV0.3Zr,1,S,25.0,866.0,8
320,NbTiV2Zr,0,M,25.0,918.0,9
321,NbTiV2Zr,0,M,1000.0,72.0,0
322,NbTiV2Zr,0,M,800.0,240.0,2
323,NbTiV2Zr,0,M,600.0,571.0,5
324,NbTiVZr,0,M,25.0,1105.0,9
325,NbTiVZr,0,M,1000.0,58.0,0
326,NbTiVZr,0,M,800.0,187.0,1
327,NbTiVZr,0,M,600.0,834.0,8
328,NbTiVZr,1,S,25.0,1104.0,9
