Composition,As-cast/other,Single/MultiPhase,Temperature (Celcius),Yield Strength
HfTaTiZr,1,S,25,1500
Mo0.1NbTiV0.3Zr,1,S,25,932
Mo0.3NbTiV0.3Zr,1,S,25,1312
Mo0.3NbTiVZr,1,S,25,1289
Mo0.5NbTiV0.3Zr,1,S,25,1301
Mo0.5NbTiVZr,1,S,25,1473
Mo0.7NbTiV0.3Zr,1,S,25,1436
Mo0.7NbTiVZr,1,S,25,1706
Mo1.3NbTiV0.3Zr,1,S,25,1603
Mo1.3NbTiVZr,1,S,25,1496
Mo1.5NbTiV0.3Zr,1,S,25,1576
Mo1.5NbTiVZr,1,M,25,1603
Mo1.7NbTiVZr,1,M,25,1645
Mo2NbTiVZr,1,M,25,1765
MoNbTaTi0.25W,1,S,25,1109
MoNbTaTi0.5W,1,S,25,1211
MoNbTaTi0.75W,1,S,25,1304
MoNbTaTiV,1,S,25,1400
MoNbTaTiVW,1,S,25,1515
MoNbTaTiVW,1,S,1200,659
MoNbTaTiVW,1,S,1000,752.8
MoNbTaTiVW,1,S,800,791.3
MoNbTaTiVW,1,S,600,973
MoNbTaTiW,1,S,25,1455
MoNbTaTiW,1,S,25,1343
MoNbTaTiW,1,S,1200,586
MoNbTaTiW,1,S,1000,620
MoNbTaTiW,1,S,800,674
MoNbTaTiW,1,S,600,689
MoNbTaTiZr,1,M,25,1390
MoNbTaTiZr,1,M,25,1375
MoNbTaTiZr,0,M,25,1100
MoNbTaV,1,S,25,1525
MoNbTaVW,0,S,25,2612
MoNbTaVW,0,S,25,1246
MoNbTaVW,0,S,1600,477
MoNbTaVW,0,S,1400,656
MoNbTaVW,0,S,1200,735
MoNbTaVW,0,S,1000,842
MoNbTaVW,0,S,800,846
MoNbTaVW,0,S,600,862
MoNbTaW,1,S,25,996
MoNbTaW,0,S,25,1058
MoNbTaW,0,S,1600,405
MoNbTaW,0,S,1400,421
MoNbTaW,0,S,1200,506
MoNbTaW,0,S,1000,548
MoNbTaW,0,S,800,552
MoNbTaW,0,S,600,561
MoNbTiV,1,S,25,1200
MoNbTiV0.25Zr,1,S,25,1750
MoNbTiV0.3Zr,1,S,25,1455
MoNbTiV0.5Zr,1,S,25,1640
MoNbTiV0.75Zr,1,S,25,1680
MoNbTiV1.5Zr,1,M,25,1720
MoNbTiV2Zr,1,M,25,1520
MoNbTiV3Zr,1,M,25,1415
MoNbTiVZr,1,S,25,1779
MoNbTiVZr,1,S,25,1770
MoNbTiZr,1,S,25,1560
MoTaTiV,1,S,25,1221
NbTaTiV,1,S,25,1092
NbTaTiV,1,S,25,965
NbTaTiVW,1,S,25,1420
NbTaVW,1,S,25,1530
NbTiV0.3Zr,1,S,25,866
NbTiV2Zr,0,M,25,918
NbTiV2Zr,0,M,1000,72
NbTiV2Zr,0,M,800,240
NbTiV2Zr,0,M,600,571
NbTiVZr,0,M,25,1105
NbTiVZr,0,M,1000,58
NbTiVZr,0,M,800,187
NbTiVZr,0,M,600,834
NbTiVZr,1,S,25,1104
